Economy,Year,Economy Code,"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)"
Afghanistan,2022,AFG,21.025
Albania,2023,ALB,99.280
Algeria,2019,DZA,64.007
American Samoa,2024,ASM,
Andorra,2022,AND,99.150
Angola,2015,AGO,43.405
Antigua and Barbuda,2023,ATG,99.384
Argentina,2024,ARG,
Armenia,2023,ARM,99.653
Aruba,2023,ABW,96.481
Australia,2024,AUS,99.452
Austria,2023,AUT,100.000
Azerbaijan,2023,AZE,99.940
"Bahamas, The",2023,BHS,99.061
Bahrain,2024,BHR,89.710
Bangladesh,2022,BGD,54.680
Barbados,2024,BRB,
Belarus,2023,BLR,99.873
Belgium,2023,BEL,95.765
Belize,2022,BLZ,93.650
Benin,2022,BEN,22.598
Bermuda,2024,BMU,
Bhutan,2022,BTN,37.309
Bolivia,2023,BOL,71.233
Bosnia and Herzegovina,2023,BIH,91.395
Botswana,2023,BWA,81.236
Brazil,2024,BRA,85.821
British Virgin Islands,2024,VGB,
Brunei Darussalam,2023,BRN,91.391
Bulgaria,2023,BGR,99.236
Burkina Faso,2024,BFA,21.343
Burundi,2017,BDI,18.000
Cabo Verde,2015,CPV,51.920
Cambodia,2023,KHM,49.005
Cameroon,2018,CMR,60.224
Canada,2024,CAN,96.427
Cayman Islands,2015,CYM,99.030
Central African Republic,2019,CAF,30.843
Chad,2019,TCD,18.640
Channel Islands,2024,CHI,
Chile,2024,CHL,92.536
China,2020,CHN,95.840
Colombia,2024,COL,83.072
Comoros,2022,COM,47.029
"Congo, Dem. Rep.",2020,COD,65.854
"Congo, Rep.",2015,COG,71.991
Costa Rica,2024,CRI,86.691
Cote d'Ivoire,2021,CIV,32.720
Croatia,2023,HRV,99.470
Cuba,2019,CUB,91.949
Curacao,2020,CUW,99.400
Cyprus,2023,CYP,97.116
Czechia,2023,CZE,99.886
Denmark,2023,DNK,100.000
Djibouti,2017,DJI,39.282
Dominica,2021,DMA,79.731
Dominican Republic,2023,DOM,75.700
Ecuador,2024,ECU,84.441
"Egypt, Arab Rep.",2023,EGY,69.222
El Salvador,2023,SLV,64.540
Equatorial Guinea,2024,GNQ,
Eritrea,2024,ERI,
Estonia,2023,EST,99.868
Eswatini,2022,SWZ,70.770
Ethiopia,2022,ETH,31.268
Faroe Islands,2024,FRO,
Fiji,2021,FJI,91.185
Finland,2023,FIN,100.000
France,2023,FRA,100.000
French Polynesia,2024,PYF,
Gabon,2024,GAB,
"Gambia, The",2023,GMB,46.398
Georgia,2024,GEO,99.580
Germany,2023,DEU,100.000
Ghana,2022,GHA,64.557
Gibraltar,2024,GIB,
Greece,2024,GRC,97.516
Greenland,2024,GRL,
Grenada,2023,GRD,97.163
Guam,2024,GUM,
Guatemala,2024,GTM,54.570
Guinea,2018,GIN,18.590
Guinea-Bissau,2022,GNB,31.653
Guyana,2019,GUY,84.065
Haiti,2017,HTI,46.367
Honduras,2024,HND,65.382
"Hong Kong SAR, China",2024,HKG,100.000
Hungary,2023,HUN,99.748
Iceland,2023,ISL,100.000
India,2023,IND,68.130
Indonesia,2023,IDN,83.831
"Iran, Islamic Rep.",2023,IRN,86.883
Iraq,2018,IRQ,57.646
Ireland,2023,IRL,99.700
Isle of Man,2024,IMN,
Israel,2023,ISR,96.408
Italy,2023,ITA,97.982
Jamaica,2023,JAM,99.054
Japan,2020,JPN,99.590
Jordan,2023,JOR,87.920
Kazakhstan,2019,KAZ,99.875
Kenya,2024,KEN,78.770
Kiribati,2023,KIR,99.242
"Korea, Dem. People's Rep.",2024,PRK,
"Korea, Rep.",2024,KOR,97.879
Kosovo,2024,XKX,
Kuwait,2018,KWT,61.800
Kyrgyz Republic,2023,KGZ,98.718
Lao PDR,2023,LAO,63.751
Latvia,2023,LVA,99.591
Lebanon,2019,LBN,86.234
Lesotho,2024,LSO,64.957
Liberia,2019,LBR,47.484
Libya,2024,LBY,
Liechtenstein,2024,LIE,
Lithuania,2023,LTU,99.382
Luxembourg,2023,LUX,98.277
"Macao SAR, China",2016,MAC,89.830
Madagascar,2021,MDG,41.193
Malawi,2020,MWI,46.839
Malaysia,2022,MYS,94.790
Maldives,2017,MDV,62.982
Mali,2022,MLI,14.473
Malta,2023,MLT,99.791
Marshall Islands,2021,MHL,92.613
Mauritania,2015,MRT,32.245
Mauritius,2023,MUS,95.755
Mexico,2024,MEX,85.950
"Micronesia, Fed. Sts.",2024,FSM,
Moldova,2024,MDA,99.528
Monaco,2024,MCO,
Mongolia,2023,MNG,96.047
Montenegro,2020,MNE,98.577
Morocco,2017,MAR,53.352
Mozambique,2022,MOZ,32.093
Myanmar,2019,MMR,63.470
Namibia,2023,NAM,98.930
Nauru,2023,NRU,94.180
Nepal,2021,NPL,46.350
Netherlands,2023,NLD,97.324
New Caledonia,2019,NCL,90.300
New Zealand,2024,NZL,
Nicaragua,2024,NIC,
Niger,2022,NER,17.478
Nigeria,2024,NGA,70.965
North Macedonia,2024,MKD,93.754
Northern Mariana Islands,2024,MNP,
Norway,2023,NOR,99.681
Oman,2022,OMN,98.440
Pakistan,2021,PAK,49.223
Palau,2020,PLW,96.061
Panama,2024,PAN,88.596
Papua New Guinea,2022,PNG,62.557
Paraguay,2024,PRY,80.212
Peru,2024,PER,76.294
Philippines,2022,PHL,85.706
Poland,2024,POL,99.698
Portugal,2024,PRT,95.554
Puerto Rico,2023,PRI,94.323
Qatar,2022,QAT,90.470
Romania,2023,ROU,98.951
Russian Federation,2024,RUS,100.000
Rwanda,2022,RWA,43.870
Samoa,2022,WSM,94.546
San Marino,2022,SMR,98.900
Sao Tome and Principe,2024,STP,
Saudi Arabia,2024,SAU,93.272
Senegal,2023,SEN,25.803
Serbia,2024,SRB,98.993
Seychelles,2020,SYC,97.507
Sierra Leone,2019,SLE,33.534
Singapore,2022,SGP,89.740
Sint Maarten (Dutch part),2024,SXM,
Slovak Republic,2023,SVK,99.829
Slovenia,2023,SVN,99.799
Solomon Islands,2024,SLB,
Somalia,2022,SOM,15.500
South Africa,2024,ZAF,89.340
South Sudan,2024,SSD,
Spain,2024,ESP,94.370
Sri Lanka,2022,LKA,87.290
St. Kitts and Nevis,2024,KNA,
St. Lucia,2020,LCA,98.536
St. Martin (French part),2024,MAF,
St. Vincent and the Grenadines,2017,VCT,91.290
Sudan,2022,SDN,37.838
Suriname,2022,SUR,79.306
Sweden,2023,SWE,100.000
Switzerland,2024,CHE,99.618
Syrian Arab Republic,2024,SYR,
Tajikistan,2017,TJK,95.750
Tanzania,2022,TZA,67.193
Thailand,2024,THA,75.445
Timor-Leste,2022,TLS,97.980
Togo,2022,TGO,43.729
Tonga,2023,TON,97.739
Trinidad and Tobago,2023,TTO,99.349
Tunisia,2023,TUN,56.622
Turkiye,2023,TUR,86.225
Turkmenistan,2022,TKM,99.690
Turks and Caicos Islands,2019,TCA,96.130
Tuvalu,2019,TUV,93.255
Uganda,2019,UGA,51.989
Ukraine,2021,UKR,100.000
United Arab Emirates,2024,ARE,95.700
United Kingdom,2021,GBR,100.000
United States,2024,USA,99.682
Uruguay,2024,URY,93.832
Uzbekistan,2022,UZB,100.000
Vanuatu,2023,VUT,70.543
"Venezuela, RB",2017,VEN,96.387
Vietnam,2023,VNM,87.538
Virgin Islands (U.S.),2024,VIR,
West Bank and Gaza,2024,PSE,91.974
"Yemen, Rep.",2023,YEM,45.514
Zambia,2018,ZMB,60.811
Zimbabwe,2019,ZWE,75.001